group_id,book_code
117490,117490
85615,85615
116495,116495
60758,60758
116922,116922
31645,31645
47059,47059
96425,96425
113102,113102
43254,43254
81549,81549
426,426
426,40790
53891,53891
119268,119268
116248,116248
50613,50613
119794,119794
108560,108560
81922,81922
73425,73425
112479,112479
14839,14839
86502,86502
64135,64135
54506,54506
5652,5652
119291,119291
119710,119710
27719,27719
97557,97557
25490,25490
7014,7014
67993,67993
42288,42288
30520,30520
30520,30521
30520,30522
86470,86470
61007,61007
90199,90199
33784,33784
33784,57572
59331,59331
43460,43460
90038,90076
90038,90073
90038,90038
90038,90040
90038,90041
90038,90042
90038,90043
90038,90064
90038,90065
90038,90066
90038,90067
90038,90069
90038,90070
90038,90072
90038,90075
61212,61212
36057,36057
117667,117667
6939,6939
83643,83643
110496,110496
82636,82636
68266,68266
745,745
745,34492
1432,1432
119281,119281
43495,43495
29965,29965
46211,46211
24218,24218
59860,59860
102307,102307
54813,54813
93475,93475
111539,111539
40075,40075
60288,60288
44342,44342
1187,1187
1187,13839
15611,15611
3884,3884
17439,17439
63735,63735
101189,101189
59140,59140
121880,121880
51103,51103
67178,67178
110795,110795
6856,6856
103466,103466
113512,113512
113045,113045
23712,23712
117530,117530
46319,46319
87536,87536
94714,94714
94714,103432
94714,104753
45846,45846
107748,107748
6954,6954
36314,36314
36314,113686
75451,75451
86927,86927
112405,112405
19230,19230
98703,98703
68674,68674
82362,82362
28891,28891
82049,82049
83533,83533
27930,27930
14571,14571
14571,14572
97107,97107
4029,4029
108793,108793
37496,37496
103438,103438
113199,113199
52439,52439
73653,73653
13812,13812
87690,87690
29814,29814
120839,120839
65784,65784
50761,50761
51488,51488
45767,45767
28250,28250
63825,63825
20711,20711
113451,113451
111280,111280
14980,14980
89548,89548
118084,118084
33006,33006
54039,54039
111933,111933
97658,97658
15895,15895
62607,62607
100588,100588
76136,76136
120871,120871
62911,62911
60820,60820
63288,63288
82773,82773
52903,52903
30116,30116
97052,97052
7058,7058
103349,103349
103349,109958
48235,48235
32755,32755
32755,32756
32755,32757
100798,100798
119924,119924
52220,52220
84230,84230
80160,80160
7341,7341
82436,82436
20077,20077
106341,106341
68951,68951
68951,91807
28276,28276
104065,104065
19839,19839
103867,103867
96893,96893
70853,70853
16903,16903
73460,73460
15504,15504
99478,99478
64931,64931
46416,46416
103084,103084
94262,94262
59571,59571
67376,67376
65159,65159
81126,81126
42179,42179
39828,39828
33142,33142
18727,18727
98001,98001
27914,27914
73685,73685
89196,89196
106013,106013
24955,24955
38703,38703
112283,112283
56738,56738
64412,64412
21971,21971
16189,16189
52728,52728
18699,18699
101397,101397
35749,35749
119698,119698
31114,31114
116954,116954
112215,112215
68741,68741
27109,27109
98567,98567
12538,12538
12538,33552
96312,96312
21058,21058
63355,63355
55432,55432
71295,71295
61234,61234
114399,114399
67816,67816
94341,94341
53064,53064
105513,105513
98087,98087
14999,14999
40703,40703
38828,38828
72738,72738
58012,58012
50702,50702
69962,69962
74649,74649
37835,37835
41240,41240
35969,72348
35969,35969
30290,30290
30290,101438
97670,97670
76157,76157
23986,23986
117829,117829
7530,7530
69503,69503
41925,41925
87795,87795
119707,119707
112965,112965
97793,97793
29681,29681
45480,45480
56272,56272
93087,93087
86832,86832
41789,41789
84539,84539
116082,116082
28428,28428
41753,41753
42477,42477
94849,94849
67125,67125
111053,111053
93985,93985
120205,120205
58247,58247
34291,34291
43266,43266
29145,29145
14101,14101
2249,2249
2249,13277
2249,40780
112080,112080
83724,83724
44538,44538
30921,30921
101090,101090
108127,108127
114969,114969
113828,113828
72191,72191
57242,57242
110482,110482
81917,81917
74904,74904
57944,57944
101585,101585
114245,114245
50494,50494
58997,58997
82708,82708
19564,19564
117107,117107
62456,62456
26854,26854
49941,49941
37485,37485
67369,67369
37125,37125
113884,113884
65117,65117
87909,87909
55006,55006
34410,34410
40607,40607
105372,105372
42706,42706
111989,111989
14682,14682
54910,54910
119285,119285
59021,59021
10975,10975
32797,32797
31708,45889
31708,31708
25919,25919
74647,74647
81012,81012
24952,24952
41365,41365
41365,71062
21073,21073
41704,41704
69053,69053
7644,7644
107309,107309
25024,25024
44869,44869
34305,34305
82686,82686
18283,18283
1622,1622
1622,11278
19450,19450
41298,41298
32611,32611
10411,10411
108659,108659
52111,52111
53214,53214
17002,17002
26538,26538
107538,107538
18514,18514
74919,74919
20106,20106
38715,38715
49812,49812
41090,41090
87903,87903
80907,80907
44225,44225
86065,86065
117110,117110
15438,15438
58003,58003
47010,47010
63688,63688
108743,108743
13754,13754
13754,82579
13754,103252
72949,72949
107236,107237
107236,107238
107236,107236
34471,34471
16695,16695
19212,19212
111095,111095
107586,107586
16128,16128
35292,35292
55427,55427
96979,96979
96979,117361
57456,57456
63482,63482
28300,28300
56602,56602
100917,100917
100917,102209
42283,42283
4864,4864
87034,87034
101493,101493
99879,99879
34325,34325
93448,93448
136,136
136,1840
136,7506
136,64422
136,13286
80427,80427
2335,2335
2335,2909
2335,25072
2335,110764
2335,2903
2335,2905
2335,2933
2335,96866
2335,104823
2335,50610
2335,2901
2335,22302
60627,60627
102190,102190
70722,70722
93884,93884
1823,1823
62729,62729
92334,92334
115163,115163
45926,45926
49887,49887
110728,110728
50240,50240
99811,99811
93467,93467
102951,102951
63817,63817
6264,6264
45574,45788
45574,45574
73029,73029
84157,84157
121682,121682
13242,13242
99830,99830
38114,38114
73983,73983
80522,80522
52313,52313
37516,37516
46623,46623
97190,97190
50062,50062
54203,54203
21653,21653
95231,95231
117565,117565
25252,25252
61088,61088
89101,89101
81887,81887
50515,50515
102900,102900
51991,51991
29979,29979
57783,57783
70466,70466
19453,19453
52612,52612
43061,43061
53363,53363
64060,64060
23139,23139
41829,41829
8617,8617
13555,13555
104590,104590
104590,105202
104590,106381
104590,106382
15151,15151
15151,39742
79722,79722
54172,54172
24492,24492
94802,94802
98720,98720
98720,112597
20230,20230
20230,80946
44882,44882
112924,112924
107635,107635
103013,103013
64201,64201
26487,26487
15157,15157
89346,89346
117277,117277
35412,35412
31945,31945
59168,59168
28669,28669
23880,23880
89980,89980
