code,title_persian,title_english,price,discount,grade,code,shabak,page_count,release_year_sh,release_year_mi,exist,earliest_access,print_series,ghate,cover
16431,مناظره مسلمان و مسیحی, Muslim and Christian debate,123750,25,3.57,16431,978-9642247059,268,1401,,True,1402-07-10,2,وزیری,شومیز
44551,طعم سیب زرد, Ta'me sibe zard,49700,30,3.41,44551,978-6002966469,160,1401,,True,1402-07-10,4,پالتویی,شومیز
75051,نگاهی نو به فلسفه دین کانت, A new look at Kant's philosophy of religion,150000,25,3.63,75051,978-6006730820,332,1398,,True,1402-07-08,1,رقعی,شومیز
32993,مدیریت خشم, Anger Management,80000,20,3.21,32993,978-9641703129,128,1401,2018,True,1402-07-10,4,رقعی,شومیز
46770,اطوار اندیشه ی اسلامی, Atvar-e andishe-ye Eslami,120000,20,3.21,46770,978-9642671649,112,1391,,True,1402-07-08,1,رقعی,جلدسخت
11759,فردیت اشتراکی, Shared Individuality,129500,30,3.2,11759,9789648175837,176,1402,2010,True,1402-07-06,4,رقعی,شومیز
61295,شما هم می توانید, You can too,19500,25,3.8,61295,978-6009870851,98,1397,,True,1402-07-10,1,رقعی,شومیز
76224,مدیر پاشنه بلند, High heel manager,24500,30,3.37,76224,978-6225816022,100,1401,,True,1402-07-10,1,رقعی,شومیز
113125,عقده اودیپ پسر هاشم آقا," The complex of Oedipus, son of Hashem Agha",53600,20,3.45,113125,978-6229333501,100,1402,,True,1402-07-08,1,رقعی,شومیز
19993,پسری که امیر را دوست داشت, Pesari Ke Amir Ra Doust Dasht,15000,25,3.11,19993,978-6001271236,96,1396,,True,1402-07-10,1,رقعی,شومیز
43554,پیامک عوضی, Quarry,101500,30,3.67,43554,978-6002961013,328,1401,2011,True,1402-07-10,2,رقعی,شومیز
48881,مصرف کننده پست مدرن," Marketers, Tear Down These Walls!",101250,25,3.1,48881,978-6222461065,239,1398,2018,True,1402-07-08,1,رقعی,شومیز
31958,خاطراتی از الهیار صالح, A momoir of Allahyar Saleh,150000,25,3.53,31958,978-9646799134,420,1382,,True,1402-07-08,1,رقعی,شومیز
73034,برآمدن و فرمانروایی تیمور, The Rise and Rule of Tamerlane,93750,25,3.42,73034,978-9643172862,334,1393,1989,True,1402-07-10,2,وزیری,شومیز
32925,گردونه روزگار, Gardoone-ye Roozegar,31500,10,3.69,32925,978-9644239120,679,1397,,True,1402-07-08,2,وزیری,جلدسخت
53268,نمایش های ایرانی 6, Namayesh-haye Irani 6,52000,20,3.25,53268,978-6001750762,298,1390,,True,1402-07-08,1,وزیری,زرکوب
54950,جنبش های اجتماعی سرخورده و ریشه های تروریسم, Volatile social movements and the origins of terrorism,63000,25,3.51,54950,978-6226288569,241,1400,2012,True,1402-07-08,1,رقعی,شومیز
43251,نئورئالیسم چیست؟, What is neorealism?,29750,15,3.79,43251,978-6008004486,239,1395,,True,1402-07-08,1,رقعی,شومیز
50572,گئورگ بوشنر, Georg Buchner,38250,25,3.08,50572,978-6227178159,204,1400,1982,True,1402-07-08,1,پالتویی,شومیز
79524,خدعه و عشق, Kabale und Liebe,176000,20,3.03,79524,978-6003260184,211,1400,1784,True,1402-07-06,2,رقعی,شومیز
117924,خدعه و عشق, Kabale und Liebe,72000,20,3.95,117924,978-6227326536,174,1402,1784,True,1402-07-10,1,پالتویی,شومیز
93835,تاریخ فلسفه, The story of philosophy,196000,20,3.04,93835,978-6222673369,616,1401,1926,True,1402-07-08,1,رقعی,شومیز
15469,تاریخ فلسفه, Philosophy,192000,20,4.12,15469,978-9644450051,501,1402,1926,True,1402-07-06,33,رقعی,شومیز
37340,قصه های تصویری از تذکره الاولیا 6, Tazkirat al-Awliya,21000,30,3.25,37340,978-6002517517,16,1394,,True,1402-07-10,2,رقعی,شومیز
17276,پشت فرودگاه, Behind the airport,12000,25,3.16,17276,978-6220100102,109,1397,,True,1402-07-08,2,رقعی,شومیز
39349,فکرت را متوقف کن, Hold that Thought,115120,20,3.26,39349,978-6222201272,288,1399,2019,True,1402-07-10,1,رقعی,شومیز
15616,احوال دل گداخته, Heartburn,132000,20,3.31,15616,‫‬‮‭978-9643727253,440,1393,,True,1402-07-10,2,رقعی,شومیز
24689,خیانت, Betrayal,11250,25,3.67,24689,978-9642837508,64,1388,,True,1402-07-08,2,رقعی,شومیز
28941,میزانسن, Mise en scène (Kino-Agora),44000,20,3.5,28941,978-6008987482,103,1400,2014,True,1402-07-08,2,پالتویی,شومیز
97475,صفر تا صد استودیوی یک استارتاپ, Startup Studio Playbook,84000,20,3.75,97475,978-6003376489,208,1401,2019,True,1402-07-10,1,رقعی,شومیز
41233,زبان و ادب فارسی در قلمرو عثمانی, Persian language and literature in the Ottoman Empire,19800,10,3.95,41233,978-9644238291,304,1396,,True,1402-07-08,3,وزیری,زرکوب
121068,سرگذشت گم شدن قطره های باران در کوه های پیچ در پیچ, Nature Cycle,62400,20,3.41,121068,978-6003209183,24,1402,,True,1402-07-08,1,خشتی,شومیز
22320,دن کامیلو و جوانان سرکش, Don Camillo Meets Hell's Angels,31600,20,3.78,22320,978-9642133901,200,1399,1969,True,1402-07-06,2,رقعی,شومیز
116462,تروتسکی در تبعید, Trotzki im Exil,224000,20,3.98,116462,978-9642822096,394,1392,,True,1402-07-10,1,وزیری,جلدسخت
23831,مرگت چه بود؟, What was your death for?,187000,15,3.32,23831,‏‫‭978-6001522765‬,136,1398,,True,1402-07-08,1,رقعی,شومیز
102277,در اجتماع, In the community,18375,25,3.7,102277,978-6222372699,24,1401,,True,1402-07-10,1,خشتی,شومیز
