book_code,person_counter,role
16431,0,writer
44551,1,writer
32993,2,writer
32993,3,translator
75051,5,writer
11759,6,writer
11759,7,translator
76224,8,writer
19993,9,writer
43554,10,writer
43554,11,translator
48881,12,writer
48881,13,translator
73034,14,writer
73034,15,translator
53268,17,writer
32925,16,writer
31958,18,writer
54950,19,writer
54950,20,translator
43251,21,writer
37340,22,writer
17276,23,writer
39349,24,writer
39349,25,translator
24689,28,writer
97475,29,writer
97475,30,translator
41233,31,writer
16149,33,writer
16149,34,translator
22320,35,writer
22320,36,translator
23831,37,writer
116462,38,writer
116462,39,translator
90337,40,writer
102277,41,writer
106935,42,writer
106935,43,translator
95430,44,writer
82424,45,writer
82424,46,writer
64585,47,writer
74705,48,writer
52719,49,writer
6936,51,writer
6936,52,writer
55939,54,writer
28834,53,writer
55939,55,translator
45305,56,writer
45305,57,translator
54131,60,writer
40168,61,writer
40168,62,translator
44835,67,writer
44835,68,writer
44835,69,translator
24315,70,writer
24315,71,translator
68806,73,writer
95613,74,writer
95613,75,translator
17661,76,writer
17661,77,translator
86296,78,writer
85177,79,writer
115699,80,writer
115699,81,translator
106761,82,writer
106761,83,translator
19130,84,writer
19130,85,translator
58809,86,writer
60109,87,writer
60109,88,translator
112609,89,writer
112609,90,translator
3721,91,writer
3721,92,translator
106149,93,writer
12696,94,writer
12696,95,translator
104136,67,writer
104136,96,writer
85455,97,writer
85455,98,translator
116994,101,writer
19767,102,writer
121175,103,writer
103452,104,writer
112031,105,writer
112031,106,translator
93627,107,writer
93627,108,translator
86671,109,writer
5730,110,writer
100322,111,writer
26544,112,writer
82483,113,writer
82483,114,translator
120685,115,writer
120685,116,translator
56611,117,writer
56611,118,translator
17685,121,writer
17685,122,translator
17685,123,translator
25407,124,writer
83751,126,writer
83751,127,translator
40693,128,writer
61408,129,writer
61408,130,translator
92333,131,writer
51246,132,writer
112518,133,writer
80224,134,writer
44960,137,writer
23267,135,writer
23267,136,translator
102066,138,writer
102066,139,translator
62030,140,writer
84602,141,writer
95787,144,writer
95787,145,translator
44210,146,writer
44210,147,translator
96380,148,writer
41874,149,writer
121045,150,writer
45930,151,writer
45930,152,translator
88603,155,writer
9228,156,writer
9228,157,translator
66028,158,writer
29609,160,writer
46564,161,writer
46564,162,translator
96525,163,writer
96525,164,translator
100613,165,writer
100613,166,translator
14848,167,writer
67363,168,writer
119431,67,writer
119431,169,writer
119431,170,translator
45642,172,writer
45642,173,translator
40451,174,writer
40451,175,translator
86519,176,writer
49760,12,writer
49760,13,translator
