group_id,description
110769,فاجعه منا یکی از فجایع مهم چند سال اخیر است که در پی بی‌ تدبیری سعودی‌ ها، تعداد زیادی از زائرین از ملیت‌ های مختلف خصوصا ایران از گرما و تشنگی به شهادت رسیدند. نویسنده با قلم شیوای خود تلخی این فاجعه را با معجزه کلمات به تصویر کشیده است که مخاطب را تحت تأثیر قرار می‌ دهد. پس از واقعه منا که در حج سال 1394 رخ داد و در آن بیش از 400 تن از زائران ایرانی به شهادت رسیدند، آثار متعددی در قالب هنر تلاش کرده‌ اند تا بخشی از این واقعه و مظلومیت شهدای این فاجعه را به تصویر بکشند. کتاب اکبری دیزگاه دومین اثری است که با مراجعه به شاهدان عینی، سعی در بازخوانی این ماجرا از زاویه دید آنها دارد.
16431,نویسنده در قالب یک داستان، روشی که معمولا در مباحثات دینی و مذهبی از آن استفاده می شود، این گفتگو را تنظیم کرده و همان طور که اشاره شد، برای شیرین تر شدن بحث، خود را فرد عامی معرفی می کند. این در حالی است که گفتگوها نشان می دهد او با قرآن و متون و کلام اسلامی آشناست. برای نمونه در یک مورد به اسقف که او را اسقف ارامنه هم می داند، می گوید: «من از مذاکرات جلسه قبل شما خیلی تعجب دارم، خیلی تناقضات در ضمن کلمات شما و کتاب مشکوة صدق معلوم می شود؛ آخر من هم که سواد ندارم، آن چه شنیده ام از پای منبرها که آخوندها بالای منبر گفته اند، حفظ نموده. من کتاب نخوانده، مدرسه نرفته، زبان نمی دانم، قرائت خانه نمی روم، روزنامچه نمی خوانم، شما شبانه روز مشغول هستید، اسباب جمع دارید، من یک ساعت از شغل دست بکشم، آن روز مخارج ندارم، اما هر چه فکر می کنم عقلم به جایی نمی رسد».نویسنده، داستان خویش را در بیان انگیزه اش برای ورود به گفتگو با اسقف چنین آغاز کرده است که پس از دیدن اوراق تبلیغاتی مسیحی در میان زباله ها و جاهایی که کثافات انسانی ریخته می شده، به خاطر حرمتی که برای نام انبیاء قائل بوده، به سراغ مدرسه مسیحیان رفته است تا در این باره با آنان گفتگو کند. این سوژه برای ورود به بحث، برای آن است که نشان دهد در زمان وی، تبلیغات مسیحی رو به فزونی بوده و کتابچه ها و اوراق فراوانی از آنها میان مردم توزیع می شده است. این مطلب در چند جای این کتاب، مورد توجه قرار گرفته است. در یک مورد، به مناسبت در باره تورات و انجیل گفته است: «یک جا، این دو کتاب را مقدس می شمارید، یک جا این قدر این دو کتاب را در میان مردم پخش می کنید که من هر کجا می روم خاکروبه جمع کنم، اوراق این دو کتاب را در خاکروبه ها جمع می کنم، هر عطاری دوا می پیچید، در اوراق انجیل است، هر صحافی جلد کتاب ها را از اوراق کتاب های ملّی شما می کند. اگر شما این دو کتاب را مقدس می شمارید، این قدر بی احترامی چرا می کنید، میان دست و پا می اندازید»! و در جای دیگر: «کتاب مقدّس اگر اعتقاد داشتید، این قدر اوراق این تورات و انجیل را انتشار نمی کردید که عطّار در او دوا بپیچد، صحاف جلد کتاب موش و گربه کند، کلاه دوز قالب کلاه کند، در عداد کاغذهای باطله استعمال شود».....
26088,برکه سرودۀ شاعر بنام، اسدالله شعبانی، است. این کتاب منظومه ای زیبا دربارۀ سرگذشت برکه ای است که به دور از هیاهوی شهر و زندگی ماشینی، در دل طبیعت، زندگی آرامی دارد. در هر فصل رنگ و بوی تازه ای به خود می گیرد و از نغمۀ پرندگان و گردش ماهیان و قورباغه ها و جانورانش سرمست می شود. در طول این منظومه، چهار فصل بر برکه و جانورانش سپری می شود و هر فصل زیبایی های خاص خود را دارد.
32993,اگر می خواهید زندگی موفق تر، سالم تر و شادتری داشته باشید، باید بیاموزید بر احساسات منفی غلبه کنید. احساسات خام و قوی مانند خشم، اغلب شادی و پیشرفت را از ما می ربایند. خشم نه تنها از نظر عاطفی سوزان است بلکه از نظر روانی و جسمی هم آسیب زننده است. متأسفانه اکثر مردم خشم خود را مدت ها نگه می دارند یا به روش های نامناسب و مخرب با آن دست و پنجه نرم می کنند. تعجبی ندارد که بسیاری از مردم در شغل، کسب و کار و روابط خود به آن میزان از موفقیت و شادی که می توانند برسند، دست نمی یابند. این کتاب شما را در عبور از مراحل تفکر موثر برای خنثی کردن و هدایت خشم در مسیر مناسب همراهی می کند. برخلاف کتاب های خودآموز خشم، این کتاب از روش های مرحله به مرحله و بر مبنای تجربه های واقعی زندگی استفاده می کند. در این کتاب، نقطه ی شروع این است که به شما گفته می شود چگونه محرک ها و بازخورد هایی را که از دنیای اطراف دریافت می کنید تفسیر کرده و درمورد آنها قضاوت کنید. از این پایگاه محکم، می توانید بدون عصبانی شدن با شرایط کنار بیایید. اگر هم چاره ای جز عصبانی شدن ندارید، می توانید به طور مثبت با خشم به موقعیت ها پاسخ دهید. بله، خشم مثبت هم وجود دارد. با هدایت این احساس نیرومند، نه تنها از خطر واکنش های تند و عواقب ناشی از آن خلاص می شوید بلکه در قسمت های دیگر زندگی هم پیشرفت می کنید.
75051,کانت‌پژوهان اگرچه رویکرد یکسانی در تفسیر مدعیات دینی و الاهیاتی کانت نداشته‌اند اما عموما با تمرکز بر محتوای نقد عقل محض و نتیجه طبیعی آن که همانا انکار امکان معرفت نظری به خدا است، تأثیر او را بر این حوزه منفی برآورد کرده‌اند.با این وجود از حدود سه دهه گذشته موج جدید تفسیری ظهور کرده که سعی در به چالش کشیدن این نگاه رایج دارد. طرفداران این نگاه که استیون پامکویست مهم‌ترین چهره ایشان است، معتقد هستند که بررسی همه‌جانبه آثار کانت اعم از فلسفی و غیرفلسفی، نقدی و پیشانقدی برای به دست آوردن دیدگاه واقعی او درباره دین و الاهیات لازم است.آنان بر تجربه عرفانی و معرفت پیشین به خدا تأکید دارند و نشان داده‌اند برخلاف برداشت‌های تحویل‌گرایانه رایج، دین کانت صرفا همان اخلاق نیست.
85511,افسردگی یکی از شایع ترین اختلالات روانپزشکی است که تعداد بسیار زیادی از افراد را در طول زندگی شان گرفتار می کند. یک مطالعه کشوری که چند سال قبل در ایران انجام شد نشان داد که حدود 13 درصد از بزرگسالان ایرانی در یک سال گذشته دچار این بیماری شده اند. یعنی چیزی حدود 10 میلیون نفر؛ بنابراین همه ما در اطراف مان کسانی را داشته ایم یا خواهیم داشت که اختلال افسردگی را تجربه کرده باشند.از طرفی این اختلال می تواند برای بیماران بسیار ناتوان کننده باشد وکارایی آنها در حوزه های مختلف از جمله عملکرد شغلی­شان، روابطشان با خانواده و دوستان و حتی مراقبت از خودشان کاهش می یابد. اما خوشبختانه افسردگی قابل درمان است و با اقدام به موقع و مناسب می توان به بیماران افسرده کمک کرد. این کتاب با زبانی بسیار ساده و قابل فهم توانسته مفهوم افسردگی و افکار و احساساتی که هنگام افسردگی تجربه می کنیم را بیان کند. مطالعه این کتاب برای همه افراد جامعه مفید است. انتشار این کتاب از اقدامات ارزشمندی است که می تواند “سواد سلامت روان” را در جامعه افزایش دهد. افزایش سواد سلامت روان وظیفه همه ماست. به ویژه وقتی عوامل تنش زا در جامعه هر روز بیشتر و بیشتر می شود و مشکلات مختلف اجتماعی اقتصادی و سیاسی به شکلی روزافزون از یکدیگر سبقت می گیرند…
44551,داستان پسر نوجوانی که با مادرش زندگی می کند و از زمانی که پدرش آن ها را رها کرده، یعنی سال ها پیش که او کودکی بیش نبوده دچار مشکلات روحی و جسمی ناخوشایندی شده که هنوز هم او را رها نکرده اند. او به طور مرتب به پزشک معالجش مراجعه می کند، هرچند اصلا از محیط آن جا و لحظاتی که باید در آن سپری کند دل خوشی ندارد، اما باید از تنش، اضطراب و زندگی دروغینی که برای خودش دست و پا کرده است رها شود تا بتواند زندگی آرامی را تجربه کند…
46770,اطوار حاضر دربردارنده ی شانزده پرسش و پاسخ درباره ی فلسفه ی اسلامی و فیلسوفان اسلامی است. زبان اثر ساده و همراه با اصطلاحات فلسفه و حکمت است. هدف نویسنده، تبیین سیر کوتاهی در اندیشه اسلامی در زمان های مختلف و در میان افکار و آرای فیلسوفان دوره های مختلف است. «سرچشمه ی فلسفه ی اسلامی چیست؟»، «پیرامون فلسفه ی فارابی مخصوصا درباره ی عقیده ی او نسبت به وجود و هستی توضیحاتی بدهید»، «پیرامون افکار ابن سینا که در واقع پدر فلسفه ی وجود شناخته شده توضیح دهید»، «افکار ابن رشد چه تأثیری بر فلاسفه غرب داشت؟» از جمله پرسش های پاسخ داده شده در این کتاب است.
18119,"دو تقدیر که به هم گره خورنده اند، دو برداشت از زندگی که کاملا در مقابل هم قرار دارند...داستان در جنگلی استوایی که به نظر می آمد نفس خود را در گرمای مرطوب گرگ و میش حبس کرده است، اتفاق می افتد. الیانتا جلوی کلبه اش نشسته بود و سرش را به سمت ساندرو که به او نزدیک میشد چرخاند. چرا این غریبه مرموز که فیلسوف میخواندنش، درصدد بود مخفیانه صلح و آرامش قبیله اش را از بین ببرد؟ غریبه موفق شده بود اعتماد همه را جلب کند و همه را تحت تاثیر خود قرار دهد. الیانتا دیگر نزدیکانش را نمیشناخت و رفتارها و عکس العماهایشان را نمیفهمید اما هر لحظه عزم خود را برای حفاطت از مردمش، بیشتر جزم میکرد. هرگز اجازه نخواهد داد این مرد خوشبختی شان را بازیچه خود قرار دهد.کتاب""تو را به سرزمین ممکن ها خواهم برد""، طنزی سیاه است که ما را به چالش میکشد: آیا جامعه ما حقیقتا به انسان اجازه میدهد خوشبخت باشد؟"
57865,
