group_id,category_id
16431,295
16431,346
16431,437
44551,103
44551,116
44551,182
44551,437
32993,97
32993,139
32993,167
32993,327
32993,377
46770,139
46770,291
46770,346
46770,437
11759,22
11759,105
11759,167
11759,291
11759,327
76224,335
76224,382
76224,437
113125,103
113125,105
113125,265
113125,437
19993,101
19993,103
19993,114
19993,437
19993,504
19993,505
43554,29
43554,103
43554,114
43554,167
48881,97
48881,139
48881,167
31958,133
31958,139
31958,292
31958,300
31958,437
31958,489
73034,97
73034,133
73034,170
73034,300
53268,103
53268,347
53268,354
32925,133
32925,437
32925,539
32925,561
54950,97
54950,105
54950,167
54950,292
54950,476
43251,337
43251,437
43251,630
43251,680
50572,147
50572,285
50572,295
50572,300
50572,630
50572,680
37340,20
37340,103
37340,114
37340,299
37340,437
37340,504
37340,505
37340,539
17276,103
17276,182
17276,265
17276,356
17276,437
39349,139
15616,295
15616,437
15616,510
15616,552
15616,799
97475,105
97475,139
97475,160
97475,167
97475,335
16149,97
41233,295
41233,300
41233,437
121068,27
121068,103
121068,105
121068,114
121068,207
121068,236
121068,437
121068,504
121068,539
22320,103
22320,113
22320,134
22320,145
22320,172
116462,103
116462,134
116462,139
116462,147
116462,285
102277,103
102277,105
102277,114
106935,134
106935,169
106935,251
106935,353
106935,476
106935,723
95430,105
95430,346
95430,437
95430,591
82424,293
82424,300
82424,371
82424,437
82424,489
82424,590
64585,437
64585,510
64585,565
74705,292
74705,353
74705,437
74705,489
74705,552
52719,103
52719,182
52719,265
52719,356
52719,437
52719,505
28000,168
28000,292
28000,346
28000,437
28000,476
28834,437
28834,510
28834,565
45305,29
45305,139
45305,168
45305,388
45305,514
18951,103
18951,134
18951,147
18951,175
106610,105
106610,114
106610,504
14383,26
14383,167
14383,408
14383,462
14383,927
24315,97
24315,133
24315,168
24315,301
24315,341
24315,833
95613,29
95613,114
95613,167
95613,504
95613,506
47105,291
47105,346
47105,437
47105,799
17661,103
17661,152
17661,182
86296,102
86296,103
86296,105
86296,182
86296,437
115699,29
115699,105
115699,114
115699,139
115699,168
115699,301
115699,477
115699,539
115699,580
115699,590
106761,97
106761,134
106761,173
106761,301
106761,833
19130,97
19130,139
19130,168
19130,291
58809,346
58809,437
58809,870
60109,97
60109,169
60109,327
60109,377
112609,105
112609,139
3721,22
3721,24
3721,103
3721,123
3721,175
3721,265
3721,280
12696,22
12696,103
12696,168
12696,182
104136,139
104136,341
104136,382
104136,437
116994,20
116994,103
116994,114
116994,281
116994,356
116994,437
12440,105
12440,167
12440,301
12440,437
12440,590
103452,103
103452,105
103452,114
103452,437
103452,504
103452,539
112031,105
112031,139
112031,147
112031,167
112031,327
93627,29
93627,105
93627,167
93627,325
93627,327
93627,377
93627,1233
86671,335
5730,103
5730,105
5730,167
5730,182
5730,437
100322,27
100322,103
100322,265
100322,356
100322,437
26544,168
26544,514
82483,103
120685,134
120685,159
120685,170
120685,285
56611,97
56611,167
56611,335
56611,382
90395,105
90395,114
90395,437
17685,97
17685,167
90395,504
90395,509
90395,539
90395,590
116058,294
116058,437
116058,504
116058,509
25407,139
25407,292
25407,437
25407,476
25407,591
83751,21
83751,29
83751,103
83751,114
83751,168
83751,504
83751,539
40693,103
40693,113
40693,265
40693,356
40693,437
61408,21
61408,27
61408,97
61408,103
61408,114
61408,168
61408,504
61408,505
61408,539
61408,823
92333,105
92333,114
92333,437
92333,504
92333,506
92333,590
92333,865
51246,116
51246,139
51246,346
51246,437
51246,505
80224,105
80224,285
80224,337
80224,437
80224,527
80224,630
23267,97
23267,103
23267,114
102066,105
102066,114
102066,504
62030,105
62030,295
62030,437
62030,510
62030,985
84602,103
84602,105
84602,437
101655,97
101655,103
101655,105
101655,114
101655,167
101655,539
101655,823
44210,97
44210,103
44210,105
44210,108
44210,168
96380,103
96380,105
96380,114
96380,437
96380,504
96380,539
96380,823
121045,105
121045,207
121045,294
121045,437
121045,565
121045,801
88603,105
88603,114
88603,294
88603,437
9228,29
9228,103
9228,105
9228,108
9228,120
9228,167
9228,329
9228,814
9228,889
66028,97
66028,114
66028,169
66028,294
66028,504
66028,509
66028,539
66028,1233
29609,103
46564,134
46564,139
46564,291
46564,631
46564,660
96525,97
96525,139
96525,169
96525,590
96525,688
111932,105
111932,437
111932,539
111932,590
100613,105
100613,139
100613,291
100613,801
14848,103
14848,124
14848,167
116540,105
116540,294
116540,437
116540,565
116540,801
67363,335
67363,437
67363,539
67363,688
45642,97
45642,105
45642,167
45642,295
40451,97
40451,168
40451,327
40451,353
40451,377
86519,437
86519,478
86519,590
86519,832
49760,97
49760,139
49760,167
49760,335
49760,336
7549,29
7549,105
7549,171
8428,105
93972,103
93972,113
83320,292
83320,300
83320,346
83320,437
97925,105
97925,139
110302,29
110302,134
116855,105
116855,437
116855,560
116855,865
114647,105
114647,133
114647,139
114647,437
61796,22
61796,170
61796,337
61796,487
61796,539
102774,105
102774,139
102774,437
102774,476
102774,870
72721,97
72721,167
72721,301
72721,339
72721,590
67109,437
67109,514
67109,539
10591,97
10591,103
10591,105
10591,127
10591,167
10591,329
48020,29
48020,116
48020,139
48020,168
48020,301
48020,505
48020,539
48020,580
50754,139
50754,327
50754,335
50754,377
50754,437
84913,301
27391,103
27391,182
27391,437
27391,473
114859,103
114859,105
114859,114
114859,437
94309,105
94309,301
94309,1123
94309,1130
11647,134
11647,147
11647,178
11647,291
116962,22
116962,134
116962,169
116962,590
116962,784
87108,97
87108,114
87108,504
87108,539
87108,590
3071,25
3071,97
3071,134
74961,437
74961,590
74961,832
105326,139
105326,167
105326,180
105326,335
85000,337
85000,408
85000,437
85000,590
74951,286
