id,name,description,counter
6039.0,رسول جعفریان,رسول جعفریان، روحانی و پژوهشگر تاریخ ایرانی است، وی اکنون استاد گروه تاریخ دانشگاه تهران، رئیس کتابخانه تخصصی تاریخ اسلام و ایرانو رئیس کتابخانه مرکزی دانشگاه تهران می باشد.,0
14398.0,ناصر یوسفی,ناصر یوسفی (متولد ۱۳۴۶) نویسنده کتاب‌های کودکان و نوجوانان است. او دکتری آموزش‌وپرورش دارد و مشاور چند نهاد بین‌الملی از جمله یونیسف، کمیساریای عالی سازمان ملل در امور پناهندگان، یونسکو و شورای جهانی جمعیت بوده‌است. یوسفی مدیریت مؤسسه پژوهشی کودکان دنیا را بر عهده دارد.,1
19055.0,بیل اندروز,"بیل اندروز یک چهره مشهور رهبری ، مشاور و نویسنده برنده جایزه آمریکایی است. وی از طریق مشاوره خودیاری ، برنامه های مختلف آموزشی و کتابهای تغییر دهنده زندگی ، نقش مهمی در تغییر زندگی بسیاری از افراد داشته است. بیل نویسنده کتابهای متعدد ""خودیاری"" و ""تحول زندگی"" است. کتاب های او در لیست پرفروش های مختلفی از جمله نیویورک تایمز ، وال استریت ژورنال و یو اس ای تودی قرار گرفته اند.",2
4242.0,شاهین برادران,,3
26284.0,محمد خواجوی,,4
41157.0,مصطفی صالحی اردکانی,مصطفی صالحی اردکانی متولد سال 1359، نویسنده ایرانی می باشد.,5
6960.0,ژولیا کریستوا,,6
6961.0,مهرداد پارسا,,7
7169.0,علیرضا بهشت آیین,علیرضا بهشت آیین مشاور اقتصادی و سرمایه گذاری در حوزه املاک، دانش آموخته MBA و DBA، دارای ۱۵ سال تجربه در صنعت ساختمان متولد سال 1353 می باشد.,8
11494.0,ابوالقاسم فیض آبادی,ابوالقاسم فیض آبادی (متولد ۱۳۳۳ - تهران) نویسنده داستان‌های کودک و نوجوان ایرانی و عضو انجمن نویسندگان کودک و نوجوان می‌باشد؛ و تا کنون بیست و سه جلد کتاب از او به چاپ رسیده است. او در یادداشتی بر زندگی خود می‌نویسد: «در سال ۱۳۳۳ در منطقهٔ نظام آباد تهران به دنیا آمدم. دوران کودکی‌ام در آن‌جا گذشت و نوجوانی و دورهٔ دبیرستان را در نارمک طی کردم. در سال ۵۵ در رشتهٔ ریاضیات کاربردی از مدرسه عالی ریاضیات و مدیریت اقتصادی کرج فارغ‌التحصیل شدم. مدت نزدیک به چهل سال است در ارتباط با کتاب؛ اعم از آماده‌سازی، تولید و نشر هستم.»,9
24737.0,آلی کنن,آلی کنن (متولد 1975) نویسنده انگلیسی رمان های ماجراجویی برای کودکان و نوجوانان است. او در سامرست متولد شد و در مزرعه ای در منطقه Exmoor در جنوب غربی انگلیس بزرگ شد. وی تحصیلات خود را در باستان شناسی و تاریخ در دانشگاه بیرمنگام گذراند.,10
6265.0,شهره نور صالحی,,11
27528.0,مایکل آر سولومون,مایکل آر. سولومون استاد بازاریابی در دانشکده تجارت Haub در دانشگاه سنت جوزف است و در فیلادلفیا، پنسیلوانیا اقامت دارد. وی به مشتریان جهانی در صنایع پیشرو در مورد استراتژی های بازاریابی توصیه می کند تا مشتری محورتر شوند.,12
6080.0,کامبیز حیدرزاده,کامبیز حیدرزاده متولد سال 1354، نویسنده و مترجم ایرانی می باشد.,13
14160.0,بئاتریس فوربز منز,بئاتریس فوربس منز، مورخ آمریکایی در خاورمیانه و آسیای میانه است که در عشایر و سلسله تیموری تخصص دارد. وی هم اکنون به عنوان استاد تاریخ در دانشگاه تافتز فعالیت می کند. کتاب او در سال 1989 ظهور و حکومت تامرلان یکی از معتبرترین گزارش های دوران حرفه ای فاتح تیمور محسوب می شود. وی در سال 1970 لیسانس خود را از دانشگاه هاروارد و فوق لیسانس در مطالعات خاورمیانه از دانشگاه میشیگان در سال 1974 دریافت کرد، سپس برای دکترا در مطالعات آسیایی و آلتائیک داخلی که در سال 1983 دریافت کرد به هاروارد بازگشت و همکارش در انجمن تاریخی و از سال 2014، رئیس انستیتوی مطالعات ایران ماساچوست است.,14
40355.0,منصور صفت گل,منصور صفت‌گُل نویسنده، مترجم و استاد تمام تاریخ دانشگاه تهران است که در سال ۱۳۴۰ خورشیدی در زابل متولد شد. وی مدرک کارشناسی تاریخ خود را از دانشگاه فردوسی، مدرک کارشناسی ارشدش را از دانشگاه تربیت مدرس، و دکترایش را از دانشگاه تهران اخذ کرده‌است.کتاب وی تحت عنوان اطلس تاریخ بنادر و دریانوردی ایران (همراه با محمدباقر وثوقی) در نهمین دورهٔ جشنواره فارابی حائز رتبهٔ برتر شد.وی در حوزهٔ تاریخ صفویه پژوهش و تدریس می‌کند.,15
