id,name,description
22251.0,ابراهیم اکبری دیزگاه,ابراهیم اکبری دیزگاه متولد سال 1360، نویسنده، شاعر و پژوهشگر می باشد.وی مدس و محقق در روش شناسی، زمینه داستان نویسی، فلسفه ادبيات، نقدِادبي و نظریه‌های ادبی در مدرسه اسلامی هنر(86 تا 90 )، دبیر انحمن داستان طلاب کشور(91 تا 94 )، عضو هیأت مدیره¬¬ی انجمن شعر طلاب( 91 تا 94)، اداره¬ی کارگاه¬هایِ شعر و داستان در دفتر تبلیغات اسلامی از سال 89، دبیر جلسات نقد رمان و داستان در دفتر تبلیغات(89 تا 92)، دبیر جشنواره داستان اشراق(92 تا 93)، دبیر اولین جشنواره خاطره نگاری اشراق (سال 94)، دبیر کمیته ی تاریخ شفاهی و مستند نگاری خاطرات حوزوی/دینی (هم اکنون)، دبیر شورای ادبیات داستانی موسسه تنظیم و نشر آثار امام خمینی (هم اکنون)، عضو ثابت اتاق فکر معاونت فرهنگی موسسه تنظیم و نشر آثار امام خمینی (هم اکنون)، عضور شورای نظارت بر چاپ و تولید آثار معاونت فرهنگی هنری دفتر تبلیغات اسلامی (هم اکنون)، مسئول بخش تولید محتوایی ادبیات موزه انقلاب و دفاع مقدس قم (هم اکنون)، و عضو شورای تأمین انتشارات به نشر ( آستانه قدس رضوی ) واحد تهران ( هم اکنون ) می باشد.
6039.0,رسول جعفریان,رسول جعفریان، روحانی و پژوهشگر تاریخ ایرانی است، وی اکنون استاد گروه تاریخ دانشگاه تهران، رئیس کتابخانه تخصصی تاریخ اسلام و ایرانو رئیس کتابخانه مرکزی دانشگاه تهران می باشد.
14630.0,اسدالله شعبانی,اسدالله شعبانی متولد چهارم تیرماه ۱۳۳۷ نویسنده و شاعر مطرح شعر کودک و نوجوان در ایران پس از انقلاب است. وی از کارشناسان کانون پرورش فکری کودکان و نوجوانان بوده‌ است و دارای گواهینامه هنری درجه یک از سوی ریاست جمهوری در دوره‌ی حسن روحانی است و سابقه‌ی عضویت در شورای کتاب کودک و دفتر تألیف کتاب‌های درسی را هم دارد. وی را می‌توان از شاعران حلقه کیهان بچه‌ها معرفی کرد که شامل گروهی از کارشناسان کانون و شاعران همچون سیروس طاهباز، احمدرضا احمدی، جعفر ابراهیمی، محمود مشرف تهرانی، مصطفی رحماندوست، ناصر کشاورز و دیگر افراد بود. شعر زیبا زیبا زیبایی ای ایران در کتاب اول دبستان معروف‌ترین شعر وی است که آهنگ‌های مختلفی روی آن گذاشته شده‌ است. آثار وی از سوی انتشارات‌های کانون پرورش فکری کودکان و نوجوانان، مدرسه، امیرکبیر، افق و ... هم‌چنین انتشارات توکا (با مدیریت شخصی خودش) منتشر شده‌ است.
19055.0,بیل اندروز,"بیل اندروز یک چهره مشهور رهبری ، مشاور و نویسنده برنده جایزه آمریکایی است. وی از طریق مشاوره خودیاری ، برنامه های مختلف آموزشی و کتابهای تغییر دهنده زندگی ، نقش مهمی در تغییر زندگی بسیاری از افراد داشته است. بیل نویسنده کتابهای متعدد ""خودیاری"" و ""تحول زندگی"" است. کتاب های او در لیست پرفروش های مختلفی از جمله نیویورک تایمز ، وال استریت ژورنال و یو اس ای تودی قرار گرفته اند."
4242.0,شاهین برادران,
41157.0,مصطفی صالحی اردکانی,مصطفی صالحی اردکانی متولد سال 1359، نویسنده ایرانی می باشد.
14398.0,ناصر یوسفی,ناصر یوسفی (متولد ۱۳۴۶) نویسنده کتاب‌های کودکان و نوجوانان است. او دکتری آموزش‌وپرورش دارد و مشاور چند نهاد بین‌الملی از جمله یونیسف، کمیساریای عالی سازمان ملل در امور پناهندگان، یونسکو و شورای جهانی جمعیت بوده‌است. یوسفی مدیریت مؤسسه پژوهشی کودکان دنیا را بر عهده دارد.
46171.0,کریستوفر دوریک,کریستوفر دوریک استاد مراقبت های اولیه پزشکی در دانشگاه لیورپول انگلستان و رئیس کار گروه سازمان جهانی پزشکان خانواده برای سلامت روان است.
38226.0,فاطمه شیرزادی,فاطمه شیرزادی نویسنده ایرانی است.
26284.0,محمد خواجوی,
