id,name
9,علم
30,پیدایش
1195,ابوعطا
1254,مولی
1971,ادیان و مذاهب
1231,روزبهان
1529,آرمان رشد
1201,بهار سبز
1318,نشر نخستین
1721,رسا
90,اطلاعات
60,مهراندیش
1178,سوره مهر
1440,لوگوس
1217,دنیای اقتصاد
1108,قدیانی
33,نشر چشمه
1153,نسل نواندیش
1330,سخن
1372,لگا
10,افراز
3140,پیک گل واژه‏‫‬
1403,شهر قلم
1184,دایره
58,مرکز
1786,نشر نظر
4390,الکا
1578,قو
1328,ذکر
1482,مهاجر
2396,دانشگاه شهید بهشتی
1909,نگارستان اندیشه
76,فرزان روز
1173,نگاه معاصر
1332,دانژه
2580,مهرستان
1147,پیام امروز
32,جامی(مصدق)
1165,آوای مکتوب
66,نشر نی
1378,هیلا
2786,چهل طوطی
19,آموت
1327,نیستان
42,سبزان
1123,پژوهشکده مطالعات فرهنگی و اجتماعی
1829,مرکز نشر دانشگاهی
1497,شهرآب
70,هیرمند
1953,آذرین مهر
1837,آئی سا
69,هرمس
17,آگاه
1203,کتاب مهربان
4400,جهان سترگ
83,روشنگران و مطالعات زنان
2079,بازی و اندیشه
1570,خط خطی
2751,ایران شناسی
3225,انتشارات داژو
3077,جهاد دانشگاهی واحدمشهد
1565,ترجمان
1531,بازاریابی
2612,افرا
13,امیرکبیر
1767,نگار گران
2534,قاب
1294,سیته
1530,آریا نوین
1392,به نشر
31,نشر ثالث
1118,نشر پنجره
53,کتاب کوله پشتی
1331,سایه گستر
1573,شورا
1760,بوستان کتاب
1136,پیکان
1325,آرادمان
28,پرتقال
1483,مهرسا
47,فرهنگ نشر نو
1400,سفیدسار (وروجک)
1329,فنی ایران - نردبان
1109,آذرباد
1470,سروش
1595,حکمت کلمه
1405,فراروان
2461,دانش آفرین
1538,خدمات فرهنگی کرمان
3044,نشر کتاب نبات
39,روزگار
59,مروارید
2356,دانشگاه فردوسی مشهد
1937,آن سو
63,نفیر
1967,دانشگاه تهران
1439,اندیشه احسان
67,نیلوفر
2042,طاهریان
1551,استاندارد
1534,پازینه
2018,سمت
1239,فاطمی
1447,آوند دانش
1568,خانه کتاب
1825,قومس
2040,یساولی
43,سمیر
1362,ارجمند
57,ماهی
1326,محراب قلم
2209,برآیند
1432,مینیاتور
1601,زنبور
62,نگاه
46,عطائی
2369,سرود
2056,دیباگران تهران
3009,شالگردن
2317,اشراقی
1215,هوپا
54,گل آذین
1492,سپیده باوران
4424,دوایر
81,علمی و فرهنگی
1250,بهمن برنا
1977,شهید کاظمی
2039,کتابکده کسری
2628,امید سخن
2165,خوزان
1111,نشر ویدا
1282,کتاب سده
1490,زرین و سیمین
1456,پیام آزادی
1627,نیکبن
87,قطره
1114,آفرینگان
40,روزنه
1334,فصل پنجم
2469,طلایه
2400,دایره المعارف بزرگ اسلامی
1835,ورجاوند
1308,تمدن علمی
1501,پیام محراب
51,کتابسرای تندیس
1335,حتمی
1436,پل
1695,پرنده آبی
1603,سمام
1377,ماهریس
1888,پژوهشگاه فرهنگ و اندیشه اسلامی
1549,نوای مدرسه
78,نیماژ
11,افق
1860,چالش
1866,جمکران
1333,خانه ادبیات
1644,سیب سرخ
1429,مهر نوروز
1193,سایه سخن
1813,نشر گویا
1233,ذهن آویز
2448,آبرنگ
1571,دانشگاه مفید
1156,برکه خورشید
2483,زرین اندیشمند
1244,مهرویستا
1256,کانون پرورش فکری کودکان و نوجوان
1258,زوار
2070,دانشگاه امام صادق (ع)
1336,بین المللی حافظ
1783,مهر و ابر
1360,صابرین
1892,ترنگ
1283,جامه دران
1580,کتاب طه
4377,کیوی
1438,کویر
1569,خجسته
2385,علوم رایانه
2287,سنایی
3286,سبحان نور
1194,آریانا قلم
1129,معین
3146,دانشگاه صنعتی نوشیروانی بابل
1138,هنوز
1115,مکتوب
2120,صدرا
1810,آبادیران
1922,سازمان چاپ و انتشارات
2097,جمال
1185,دیبایه
1435,مس
105,تیسا
1289,اتفاق
2908,مهر و دل
1152,پرسش
1142,ناهید
1354,یکشنبه
2080,پیله
1415,نوشته
1488,هو
1822,کیمیا
1296,باژ
1781,نشر علی
2341,کتابسرای میردشتی
2898,گوهر اندیشه
1479,کلید آموزش
1386,آبشن
1212,مثلث
1312,شباهنگ
1389,آوای مهدیس
3002,دایره سفید
1371,فاصله
1558,بروج
1543,کتاب آبان
2914,هفت و نیم
1622,موسسه امام موسی صدر
1614,کرگدن
4423,یکنام
4311,دکسا
2302,هزاره سوم اندیشه
1375,کتابستان معرفت
91,گیسا
1186,حوض نقره
1344,شیرازه
1309,بان
2735,حکمت و فلسفه
1404,علمی
1426,آیدین
48,ققنوس
3105,دانشگاه صنعتی امیرکبیر
1266,نشانه
2845,اندیشه مولانا‏‫
2821,آوای آزاده
2257,نشر آمو
1572,دوران
1988,بعثت
2403,کتاب پارک
2985,آترینا
1491,کتابیار
2038,کتاب هرمز
1286,مشکی
1587,نویسه پارسی
1545,گام
1183,دبیر
1770,پردیس آباریس
85,نیلا
1206,آشیان
1358,شهرستان ادب
4382,نیلفام‏‫
2436,فرهامه
77,نشر نون
22,بازتاب نگار
2822,کوهسار
1130,روزنه کار
93,موسسه فرهنگی هنری جهان کتاب
1220,کتاب سرای نیک
1552,امید فردا
2497,یزدا
73,نشر کتاب پارسه
1800,خوب
1160,لیوسا
3097,فن آوری نوین
1639,دانش نگار
1374,پیام مشرق
1635,چاپخش
2132,بین الملل
1864,360 درجه
1804,سنگ
1547,میچکا (مبتکران)
1548,نشر شهر
2711,کتاب کنج
2705,هشت
1818,نقش جهان
2260,ایهام
1190,ایجاز
1736,عطار
1127,نشر چلچله
3090,ناردونه
2651,یادواره کتاب
2175,هوانورد
1161,وانیا
1177,نقد فرهنگ
37,در دانش بهمن
1295,اطراف
1380,آرما
2647,نور اشراق
1895,یوپا
49,کارنامه
2149,حدیث راه عشق
1452,اوحدی
1106,هنرکده
1163,پرسمان
1133,درسا
1913,نمایش
1630,ادیبان روز
1253,حکمت
1533,برف
75,اختران
1544,کومش
2275,آیلار
102,چترنگ
2311,آماره
104,فرهنگ آرش
1229,دارینوش
2834,پلات
1125,صدای معاصر
2470,نگاه آشنا
1528,ابریشمی
3159,نشر پله
1473,طلایی
1624,ناریا
1338,سرزمین اهورایی
1434,موج
1287,جاودان خرد
2473,آبی پارسی
1427,فارابی
1262,نقش و نگار
2283,رسول آفتاب
1110,جویا
1575,صفی علیشاه
1815,خزه
1202,بهزاد
1397,روانشناسی و هنر
1814,باهم
1357,ساز و کار
2085,جابیرو
4352,آثار سبز
2330,دارالفکر
1117,نشر تهران
24,بهجت
2903,کمیکا
